date,startup,industry,sub_industry,city,investment_type,amount_usd,amount_usd_clean,investment_type_grouped
15/04/2017,Myly,consumer internet,Mobile App for Schools,jaipur,seed funding,"3,10,000",310000.0,seed
17/04/2017,CrediHealth,consumer internet,Online Medical Assistance platform,gurgaon,private equity,"15,00,000",1500000.0,private_equity
17/04/2017,Snackible,food and beverages,Healthy Snacks manufacturer,mumbai,seed funding,"1,75,000",175000.0,seed
17/04/2017,Be U Salons,consumer internet,Online Salon discovery & Booking Services,new delhi,seed funding,"6,20,000",620000.0,seed
17/04/2017,LendingKart,consumer internet,Lending platform for small businesses,ahmedabad,private equity,"46,50,000",4650000.0,private_equity
18/04/2017,Innefu Security Consulting,technology,Cyber Security solutions using AI,new delhi,private equity,"20,00,000",2000000.0,private_equity
18/04/2017,Whodat,technology,Markerless AR platform,bangalore,private equity,"6,00,000",600000.0,private_equity
18/04/2017,Absentia VR,technology,Virtual Reality Startup,bangalore,private equity,"12,50,000",1250000.0,private_equity
19/04/2017,IOTrek,technology,IoT Platform for Bus,new delhi,seed funding,"1,55,000",155000.0,seed
20/04/2017,HolaChef,consumer internet,Online Food Delivery,mumbai,private equity,"30,00,000",3000000.0,private_equity
21/04/2017,Video Ken,consumer internet,Video Based Collaborative Learning,bangalore,seed funding,"10,00,000",1000000.0,seed
24/04/2017,Faasos,food and beverage,QSR chain and online food delivery,pune,private equity,"63,00,000",6300000.0,private_equity
24/04/2017,Oyo Rooms,consumer internet,Branded Budget Hotels Aggregator,gurgaon,private equity,"25,00,00,000",250000000.0,private_equity
24/04/2017,Toppr,consumer internet,Learning mobile app for students,mumbai,private equity,"32,00,000",3200000.0,private_equity
25/04/2017,The Office Pass,consumer internet,CoWorking Spaces booking platform,gurgaon,seed funding,"2,45,000",245000.0,seed
25/04/2017,UrbanClap,consumer internet,Mobile Services Marketplace,gurgaon,private equity,"31,00,000",3100000.0,private_equity
26/04/2017,Awfis,consumer internet,Collaborative co-Working Spaces,mumbai,private equity,"2,00,00,000",20000000.0,private_equity
26/04/2017,Flytxt,technology,Customer data analytics software,mumbai,private equity,"1,10,00,000",11000000.0,private_equity
26/04/2017,Howdy Ventures,consumer internet,Public and Private Events creation app,chennai,seed funding,"15,00,000",1500000.0,seed
26/04/2017,StalkBuyLove,ecommerce,Online fashion marketplace,new delhi,private equity,"10,00,000",1000000.0,private_equity
27/04/2017,Scootsy,consumer internet,On-Demand Food Delivery,mumbai,private equity,"36,00,000",3600000.0,private_equity
27/04/2017,iNurture,consumer internet,Online Educational courses,bangalore,private equity,"15,00,000",1500000.0,private_equity
28/04/2017,Sepalika,consumer internet,Healthcare related content platform,new delhi,seed funding,"7,50,000",750000.0,seed
01/03/2017,Ola,consumer internet,App based cab aggregator,bangalore,private equity,"33,00,00,000",330000000.0,private_equity
01/03/2017,Belong,consumer internet,Online Jon Portal,bangalore,private equity,"1,00,00,000",10000000.0,private_equity
02/03/2017,Celes Care,consumer internet,Women Healthcare & Information portal,hyderabad,private equity,"15,00,000",1500000.0,private_equity
02/03/2017,Karomi,technology,Packaging Artwork Management software,chennai,seed funding,"5,00,000",500000.0,seed
02/03/2017,Red Carpet,consumer internet,Micro Lending platform,gurgaon,private equity,"25,00,000",2500000.0,private_equity
02/03/2017,CreditMantri,consumer internet,Online Credit score & lending platform,chennai,private equity,"76,00,000",7600000.0,private_equity
03/03/2017,Tydy,technology,Employee Onboarding and Engagement platform,bangalore,seed funding,"2,75,000",275000.0,seed
03/03/2017,Oho Shop,technology,eCommerce Mobile App Builder,ahmedabad,private equity,"67,00,000",6700000.0,private_equity
03/03/2017,Paytm Marketplace,ecommerce,ECommerce Marketplace,bangalore,private equity,"20,00,00,000",200000000.0,private_equity
04/03/2017,iGenetics,healthcare,Health Diagnostic Solutions,mumbai,private equity,"1,95,00,000",19500000.0,private_equity
06/03/2017,Juno Clinic,consumer internet,Online Counseling Platform,mumbai,seed funding,"12,00,000",1200000.0,seed
06/03/2017,Summerlabel,consumer internet,Fashion and Lifestyle discovery platform,gurgaon,seed funding,"1,50,000",150000.0,seed
06/03/2017,PickMe,consumer internet,Gadget Insurance & Repair Services platform,mumbai,private equity,"17,90,000",1790000.0,private_equity
07/03/2017,Agrostar,technology,Direct-to-Farmer Mobile-Based Retail platform,pune,private equity,"1,00,00,000",10000000.0,private_equity
07/03/2017,Zapr,technology,"DSP, TV Analytics & Cross-Platform advertising",bangalore,private equity,"1,00,00,000",10000000.0,private_equity
07/03/2017,Data Resolve,technology,Cyber Security Solutions,noida,private equity,"10,00,000",1000000.0,private_equity
07/03/2017,Book Servicing,consumer internet,Online Vehicle Services Booking platform,new delhi,seed funding,"30,000",30000.0,seed
07/03/2017,Blowhorn,consumer internet,Intra-City Logistics provider,bangalore,private equity,"36,50,000",3650000.0,private_equity
08/03/2017,Rivigo,logistics,Technology Enabled Logistics Company,gurgaon,private equity,"1,50,00,000",15000000.0,private_equity
08/03/2017,PipeCandy,technology,Intelligent Sales Prospecting Platform,chennai,seed funding,"11,00,000",1100000.0,seed
08/03/2017,Supr Daily,consumer internet,Subscription based Home Delivery Platform,mumbai,seed funding,"1,20,000",120000.0,seed
09/03/2017,AppBrowzer,consumer internet,Instant Mobile Apps Store,bangalore,seed funding,"5,00,000",500000.0,seed
09/03/2017,MagicBricks,consumer internet,Online Real Estate Portal,mumbai,private equity,"45,00,000",4500000.0,private_equity
10/03/2017,PeeBuddy,healthcare,Female Hygiene product manufacturer,new delhi,seed funding,"4,43,000",443000.0,seed
10/03/2017,Lavelle Networks,technology,SDN Solutions,bangalore,seed funding,"6,00,000",600000.0,seed
15/03/2017,LatestOne,ecommerce,Tech Accessories e-tailer,hyderabad,private equity,"33,50,000",3350000.0,private_equity
15/03/2017,Frapperz,consumer internet,On-demand home services provider,kolkata,seed funding,"1,00,000",100000.0,seed
16/03/2017,mPaani,consumer internet,Loyalty rewards app,mumbai,private equity,"13,50,000",1350000.0,private_equity
